2022-07-31 20:44:55,362 | INFO | ulauncher: main() | Ulauncher version 5.14.4
2022-07-31 20:44:55,362 | INFO | ulauncher: main() | Extension API version 2.0.0
2022-07-31 20:44:55,363 | INFO | ulauncher: main() | GTK+ 3.24.33
2022-07-31 20:44:55,363 | INFO | ulauncher: main() | Is Wayland: False
2022-07-31 20:44:55,363 | INFO | ulauncher: main() | Wayland compatibility: off
2022-07-31 20:44:55,397 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2022-07-31 20:44:55,400 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2022-07-31 20:44:55,400 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2022-07-31 20:44:55,401 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2022-07-31 20:44:55,401 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2022-07-31 20:44:55,402 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2022-07-31 20:44:55,402 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2022-07-31 20:44:55,402 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2022-07-31 20:44:55,402 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2022-07-31 20:44:55,402 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2022-07-31 20:44:55,404 | DEBUG | ulauncher.utils.display: get_screens() | Found 2 monitor(s)
2022-07-31 20:44:55,404 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-31 20:44:55,404 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 1920, Y: 0, W: 1920, H: 1080
2022-07-31 20:44:55,424 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-31 20:44:55,426 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2022-07-31 20:44:55,426 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2022-07-31 20:44:55,439 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary><Alt>space
2022-07-31 20:44:55,476 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 81 apps in cache
2022-07-31 20:44:55,515 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/evolution-calendar.desktop": constructor returned NULL
2022-07-31 20:44:55,542 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 81 apps in the system
2022-07-31 20:44:55,543 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.12 seconds
2022-07-31 20:44:55,624 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
